Date,KR_BW_01,KR_BW_02,KR_BW_03,KR_BW_04,KR_BW_05,KR_BW_06,KR_BW_07,KR_BW_08,KR_BW_09,KR_BW_10,KR_BW_11,KR_BW_12,KR_BW_13,KR_BW_14,KR_BW_15,KR_BW_16,KR_BW_18,KR_BW_19,KR_BW_20,KR_BW_21,KR_BW_22,KR_BW_23,KR_BW_24,KR_BW_25,KR_BW_26,KR_BW_27,KR_BW_28,KR_BW_29,KR_BW_30,KR_BW_31,KR_BW_32,KR_BW_33,KR_BW_34,KR_BW_35,KR_BW_36,KR_BW_37,KR_BW_38,KR_BW_39,KR_BW_40,KR_BW_41,KR_BW_42,KR_BW_43,KR_BW_44,KR_BW_45,KR_BW_46,KR_BW_47,KR_BW_48,KR_IB_49,JP-MINA,KR_DG_OFS_00033,KR_DG_ONS_00028,SG_DG_ONS_00055,TW1
1/1/2025 0:00,5.136711666,5.125783334,4.46821,4.819916667,4.59375,4.59375,4.59375,4.59375,4.719,4.864,4.864,4.416,4.37875,4.912,4.912,4.3851,4.9621,4.59375,4.125416667,4.358083333,4.512,4.358083333,5.036083333,4.2037,4.127666667,4.59375,4.494,4.59375,4.65525,4.450666667,4.3555,4.358083333,4.64425,4.59375,4.862,4.862,4.96,4.48,4.59375,4.022666667,4.022666667,4.4897,4.4897,3.683166667,3.683166667,3.683166667,4.65775,4.473,4.53933162,0,0,4.076114372,0
1/2/2025 0:00,5.044413334,5.0323,4.370345,4.541,4.511666667,4.511666667,4.511666667,4.511666667,4.433,4.8184,4.8184,4.3746,4.2385,5.04,5.056,4.5261,3.8324,4.511666667,4.05275,4.597833333,4.5543,4.597833333,5.036083333,4.0513,3.9385,4.511666667,4.2355,4.511666667,4.460916667,4.793,4.24875,4.597833333,4.559083333,4.511666667,4.147,4.147,5.008,4.438,4.511666667,3.844416667,3.844416667,4.3924,4.3924,3.63525,3.63525,3.63525,4.551,4.133,4.43779632,0,0,4.414447976,0
1/3/2025 0:00,5.010706667,5.042438333,4.558485,4.94075,4.771583333,4.771583333,4.771583333,4.771583333,4.862,5.016,5.016,4.416,4.457916667,5.168,5.2,4.5825,4.5045,4.771583333,4.25775,4.680333333,4.794,4.680333333,5.174,4.2926,4.317833333,4.771583333,4.60125,4.771583333,4.858583333,3.539083333,4.406666667,4.680333333,4.800666667,4.771583333,4.8191,4.8191,5.232,4.48,4.771583333,4.10775,4.10775,4.448,4.448,3.896083333,3.896083333,3.896083333,4.8135,3.991,3.73398579,0,0,4.991115104,0
1/4/2025 0:00,4.787663333,4.897868333,4.278,4.525,3.82675,3.82675,3.82675,3.82675,4.4187,4.27272,4.27272,4.0848,3.930916667,3.84,4.4,4.4274,4.5045,3.82675,3.546833333,4.438583333,4.4979,4.438583333,4.324166667,4.1656,4.11725,3.82675,4.37975,3.82675,4.549083333,3.653666667,3.802083333,4.438583333,3.938416667,3.82675,4.4759,4.4759,3.888,3.976,3.82675,3.802166667,3.802166667,4.3229,4.3229,3.626416667,3.626416667,3.626416667,3.9235,4.455,3.425559348,0,0,5.330282042,0
1/5/2025 0:00,2.023848333,2.131683333,1.73649954,1.365083333,1.3925,1.3925,1.3925,1.3925,1.5301,2.052,2.052,1.9182,1.51975,1.728,1.7408,1.7061,1.4872,1.3925,1.357083333,1.042166667,1.4805,1.042166667,1.327666667,1.6256,1.18025,1.3925,1.51625,1.3925,1.308416667,1.161333333,1.432916667,1.042166667,1.27975,1.3925,1.5015,1.5015,1.792,1.96,1.3925,1.195333333,1.195333333,1.7653,1.7653,1.165083333,1.165083333,1.165083333,1.374416667,1.705,3.382834902,0,0,5.201948606,0
1/6/2025 0:00,2.379085,2.341691667,2.61165,3.28925,2.714416667,2.714416667,2.714416667,2.714416667,3.289,2.4624,2.4624,2.9946,2.569333333,2.832,2.32,2.397,2.717,2.714416667,2.560583333,3.0045,2.6367,3.0045,2.17125,2.921,2.80375,2.714416667,2.7775,2.714416667,2.299416667,1.926583333,2.668166667,3.0045,2.881833333,2.714416667,14.872,14.872,2.512,2.9414,2.714416667,2.193333333,2.193333333,2.7522,2.7522,2.620583333,2.620583333,2.620583333,2.753083333,2.594,2.726473728,0,0,4.590559228,0
1/7/2025 0:00,3.6498,3.6972,3.5328,3.142416667,2.154083333,2.154083333,2.154083333,2.154083333,3.6608,2.7664,2.7664,3.45,2.56175,2.032,2.592,4.2723,2.6741,2.154083333,2.200583333,4.202833333,2.8482,4.202833333,3.728666667,3.556,3.007083333,2.154083333,3.47875,2.154083333,3.0925,2.730166667,2.523416667,4.202833333,1.925083333,2.154083333,2.8886,2.8886,1.92,2.94,2.154083333,2.99075,2.99075,3.475,3.475,2.5135,2.5135,2.5135,2.368666667,2.932,1.52272791,0,0,3.82222528,0
1/8/2025 0:00,4.8664,4.9138,4.5126,4.96,3.8,3.8,3.8,3.8,1.9734,4.0432,4.0432,4.3056,4.16,2.464,2.208,3.243,1.8447,3.8,3.7,4.28,4.3569,4.28,4.9,4.1529,3.718,3.8,4.54,3.8,4.04,2.169916667,3.99,4.28,4.09,3.8,1.716,1.716,3.68,4.326,3.8,3.81,3.81,4.5592,4.5592,3.6,3.6,3.6,4.2,3.698,2.28484584,0,0,5.089726294,0
1/9/2025 0:00,2.923,2.8756,2.9256,3.21,2.25,2.25,2.25,2.25,3.4892,3.14032,3.14032,2.415,2.33,1.68,1.808,4.6953,2.6169,2.25,2.31,4.77,3.8352,4.77,3.07,3.4544,3.26,2.25,3.24,2.25,2.89,2.43,2.46,4.77,2.12,2.25,2.6741,2.6741,2.624,2.716,2.25,2.44,2.44,2.9468,2.9468,2.01,2.01,2.01,2.4,1.638,1.544240928,0,0,5.42778212,0
1/10/2025 0:00,5.0086,5.214,4.2228,4.26,4.15,4.15,4.15,4.15,2.4596,5.016,5.016,4.1676,4.28725,4.56,5.104,4.8222,2.0306,4.15,4.02,4.89,5.0337,4.89,5.11,4.5339,4.5,4.15,4.8,4.15,4.72,4.63,4.33,4.89,3.96,4.15,2.59116,2.59116,5.088,4.48,4.15,4.08,4.08,4.2117,4.2117,3.05,3.05,3.05,4.5,2.358,3.958468878,0,0,0.16388902,0
1/11/2025 0:00,2.4648,2.5122,2.4288,2.02,2.04,2.04,2.04,2.04,2.31374,2.8728,2.8728,2.2494,1.92,2.432,3.072,4.6953,1.7589,2.04,2.05,4.74,4.3851,4.74,2.15,3.048,3.5,2.04,2.8,2.04,2.05,3.04,2.09,4.74,1.97,2.04,1.9019,1.9019,3.68,2.38,2.04,2.32,2.32,2.4742,2.4742,0.96,0.96,0.96,2.11,0.767,1.68528492,0,0,0.88055626,0
