Date,JP-MINA,KR_BW_01,KR_BW_02,KR_BW_03,KR_BW_04,KR_BW_05,KR_BW_06,KR_BW_07,KR_BW_08,KR_BW_09,KR_BW_10,KR_BW_11,KR_BW_12,KR_BW_13,KR_BW_14,KR_BW_15,KR_BW_16,KR_BW_18,KR_BW_19,KR_BW_20,KR_BW_21,KR_BW_22,KR_BW_23,KR_BW_24,KR_BW_25,KR_BW_26,KR_BW_27,KR_BW_28,KR_BW_29,KR_BW_30,KR_BW_31,KR_BW_32,KR_BW_33,KR_BW_34,KR_BW_35,KR_BW_36,KR_BW_37,KR_BW_38,KR_BW_39,KR_BW_40,KR_BW_41,KR_BW_42,KR_BW_43,KR_BW_44,KR_BW_45,KR_BW_46,KR_BW_47,KR_BW_48,KR_DG_OFS_00033,KR_DG_ONS_00028,KR_IB_49,SG_DG_ONS_00055,TW1
1/1/2025 0:00,38486.51,962,1514.17,423.27,4195.06,4022.86,3411.06,4196.35,3654.72,3916.86,828.95,2500.49,4112.94,3826.41,1349.66,0,3538,2270.21,8183.5,978.17,3027.62,1999.19,290.81,3120.61,171.81,0,1202,44551.4,4223.02,1920.52,8743.7,225.36,295.24,4102.56,3720.52,1233.75,1587.22,926.96,3914.36,144.95,3425.59,3692.89,425.63,431,294.86,300.75,298.89,205.06,0,0,370560,2709.66,0
1/2/2025 0:00,51309.8,850,1358.79,378.35,3498.69,3701.09,3251.27,3803.02,3323.23,3362.31,758.25,2301.81,2803.86,3406.77,1328.49,0,0,1476.5,9241.25,885.26,3009.73,1903.62,283.97,2727.84,157.36,0,1056,37996.1,3876.98,1750.46,9627.8,203.42,290.63,3702.84,3455.24,843.8,1164.42,923.7,3406.23,139.65,3108.13,3311.33,389.96,394,289.57,292.84,294.96,185.63,0,0,349966,2907.52,0
1/3/2025 0:00,54653.62,892,1515.71,447.83,4138.17,4271.95,3729.26,4421.96,3906.33,3924.74,900.98,2680.2,4165.69,3983.27,1319.73,0,0,1890.89,6486,993.16,3229.37,2133.24,310.24,3205.29,181.95,0,1094,46438.5,4386.16,2006.24,6666.7,230.36,324.36,4145.23,3957.68,1065,1389.51,949.35,4106.27,154.15,3633.7,3913.1,440.57,444,323.89,331,329.08,205.02,0,0,347524,3200.87,0
1/4/2025 0:00,63328.54,789,1443.28,419.04,4255.69,3137.92,2645.27,3351.18,2919.73,3332.27,754.98,2322.92,3565.05,3585.11,564.52,0,0,1963.1,7710.25,773.06,3334.88,1917.01,321.43,3148.03,171.68,0,999,44300.2,3250.93,2009.9,8019.4,188.08,331.23,3771.8,2844.32,1039.02,1329.09,672.74,3651.01,121.13,3590.24,3827.64,426.68,436,295,305.14,301.53,174.53,0,0,372667,3496.01,0
1/5/2025 0:00,66254.76,189,420.05,88.81,709.91,716.95,719.18,736.04,719.29,635.42,172.18,608.68,883.24,857.11,86.51,0,0,196.57,2681.25,223.27,286.7,315.18,28.58,557.38,42.3,0,246,7443.5,742.72,404.57,2834.7,49.36,27.49,719.4,732.17,84.87,137.08,126.55,820.56,40.32,875,872.57,98.25,99,62.98,62.84,64.11,43.14,0,0,151080,3298.77,0
1/6/2025 0:00,50296.7,212,354.6,171.53,2550.28,2123.43,1964.9,2112.41,1974.02,2156.27,322.08,1090.04,1760.93,1704.97,484,0,437.71,855.25,3349,535.92,1548.93,932.62,152.66,733.44,119.98,0,268,23894.6,2196.32,922.35,3871.7,111.62,144.25,1937.29,2114.42,467.5,798.31,276.7,1703.12,94.16,1872.63,1899.36,210.71,209,229.55,231,230.47,97.89,0,0,224120,2999.5,0
1/7/2025 0:00,26100.02,520,508.31,209.56,1911.79,785.27,554.69,904.02,625.87,2559.39,347.15,1020.87,1564.15,1188.87,37.1,0,3364.32,887.1,5188.25,272.87,2837.5,174.92,275.82,1433.57,140.78,0,616,29162.3,752.15,584.32,5036.9,93.77,288.56,556.87,456.35,533,882.98,0,1411.53,16.98,1880.53,1944.59,200.4,207,217.35,222.65,220.17,56.88,0,0,252940,2741.92,0
1/8/2025 0:00,36696.06,852,1235,393.44,3661.97,2942.06,2517.07,3278.96,2800.48,950.49,591.57,1716.24,3333.78,3036.07,428.09,0,1919.5,393.33,281,777.65,2584.58,1333.04,249.67,2597.08,162.21,0,1057,42228.1,3071.89,1429.92,278.9,194.11,264.13,3237.04,2353.95,149.54,300.39,239.96,3154.67,70.73,3001.35,3183.36,395.01,398,249.4,250.03,248.65,169.72,0,0,312000,3388.23,0
1/9/2025 0:00,24668.03,301,383.69,177.84,1819.61,1167.56,854.8,1293.76,858.62,2376.36,274.67,250.33,394.69,967.32,2.98,0,3899.43,661.67,152.5,26.85,3330.65,817.12,319.26,1379.63,133.29,0,277,21960.5,1170.78,98.46,262.9,65.59,331.45,930.49,713.31,370.89,650.52,30.14,1139.13,30.57,300.46,302.85,150.71,136,98.33,99.76,101.8,49.28,0,0,73920,3589.03,0
1/10/2025 0:00,88348.8,819,1303.08,413.9,2941.47,3170.47,2757.87,3429.34,2776.76,971.25,657.24,853.79,2468.66,2921.74,2.93,0,4204.56,524.49,1221.75,0,3529.33,1861.39,339.49,3008.43,192.48,0,966,46372.5,3262.87,6.2,2944.7,159.26,346.51,2864.62,2617.38,358.32,528.07,572.88,3569.34,103.61,2601.27,2482.19,396.53,384,180.4,168.9,182.29,128.73,0,0,37520,103.96,0
