Country,Portfolio,DC Capacity (Mwp),Month,IC Approved Budget (MWh),Expected Budget (MWh),Actual Generation (MWh),Grid Curtailment Budget (MWh),Actual Curtailment (MWh),Budget Irradiation (kWh/M2),Actual Irradiation (kWh/M2),Expected PR (%),Actual PR (%)
Japan ,JP Minamata,28.25,Jan-25,2073,2019,1554,252,516,94,101,76.43%,54.57%
Japan ,JP Minamata,28.25,Feb-25,2294,2160,1726,339,374,102,104,74.96%,58.89%
Japan ,JP Minamata,28.25,Mar-25,3252,3067,1583,265,908,137,121,79.15%,46.27%
Japan ,JP Minamata,28.25,Apr-25,2887,2765,2657,804,273,149,164,65.70%,57.25%
Japan ,JP Minamata,28.25,May-25,3464,3371,1800,401,680,161,145,73.94%,43.88%
Japan ,JP Minamata,28.25,Jun-25,2373,2339,2397,466,89,117,137,70.84%,62.08%
Japan ,JP Minamata,28.25,Jul-25,3452,3310,0,153,0,148,0,79.44%,0.00%
Japan ,JP Minamata,28.25,Aug-25,3833,3673,0,2,0,160,0,81.22%,0.00%
Japan ,JP Minamata,28.25,Sep-25,3125,3005,0,153,0,138,0,77.09%,0.00%
Japan ,JP Minamata,28.25,Oct-25,2569,2506,0,720,0,138,0,64.44%,0.00%
Japan ,JP Minamata,28.25,Nov-25,1920,1846,0,665,0,106,0,61.47%,0.00%
Japan ,JP Minamata,28.25,Dec-25,2093,1975,0,114,0,87,0,80.29%,0.00%
Korea,Korea-Blackwood ,64.13,Jan-25,5863,5635,5333,0,0,4983,5469,80.49%,66.80%
Korea,Korea-Blackwood ,64.13,Feb-25,6318,6053,5999,0,110,5385,5768,81.90%,73.74%
Korea,Korea-Blackwood ,64.13,Mar-25,8225,7875,7445,0,134,7127,6958,80.96%,78.54%
Korea,Korea-Blackwood ,63.94,Apr-25,8550,8155,8880,0,51,7533,8357,79.37%,79.91%
Korea,Korea-Blackwood ,63.94,May-25,9172,8774,7838,0,174,8188,7068,78.21%,81.31%
Korea,Korea-Blackwood ,63.94,Jun-25,7636,7306,8165,0,0,6944,7628,77.21%,77.72%
Korea,Korea-Blackwood ,63.94,Jul-25,7041,6741,0,0,0,6509,0,76.17%,0.00%
Korea,Korea-Blackwood ,63.94,Aug-25,7651,7343,0,0,0,7127,0,75.71%,0.00%
Korea,Korea-Blackwood ,63.94,Sep-25,6863,6576,0,0,0,6308,0,76.61%,0.00%
Korea,Korea-Blackwood ,63.94,Oct-25,7444,7123,0,0,0,6779,0,77.77%,0.00%
Korea,Korea-Blackwood ,63.94,Nov-25,5628,5392,0,0,0,4991,0,79.84%,0.00%
Korea,Korea-Blackwood ,63.94,Dec-25,5177,4960,0,0,0,4392,0,80.69%,0.00%
Korea,Korea-Iceberg,99.99,Jan-25,7514,7332,8557,0,0,92,100,79.36%,86.02%
Korea,Korea-Iceberg,99.99,Feb-25,9262,9038,9169,0,0,107,111,84.63%,82.55%
Korea,Korea-Iceberg,99.99,Mar-25,13320,12998,12424,0,706,152,151,85.41%,82.40%
Korea,Korea-Iceberg,99.99,Apr-25,13942,13605,14527,0,652,162,178,84.09%,81.58%
Korea,Korea-Iceberg,99.99,May-25,15028,14664,13126,0,464,177,160,83.05%,82.13%
Korea,Korea-Iceberg,99.99,Jun-25,12994,12680,13938,0,0,153,168,82.78%,82.99%
Korea,Korea-Iceberg,99.99,Jul-25,12224,11928,0,0,0,146,0,81.99%,0.00%
Korea,Korea-Iceberg,99.99,Aug-25,13350,13027,0,0,0,160,0,81.27%,0.00%
Korea,Korea-Iceberg,99.99,Sep-25,11967,11678,0,0,0,143,0,81.73%,0.00%
Korea,Korea-Iceberg,99.99,Oct-25,11661,11379,0,0,0,139,0,82.05%,0.00%
Korea,Korea-Iceberg,99.99,Nov-25,8176,7978,0,0,0,96,0,83.29%,0.00%
Korea,Korea-Iceberg,99.99,Dec-25,6458,6301,0,0,0,78,0,80.69%,0.00%
Korea,Korean-Sroof,1.09,Jan-25,0,0,0,0,0,0,0,0.00%,0.00%
Korea,Korean-Sroof,1.09,Feb-25,0,0,0,0,0,0,0,0.00%,0.00%
Korea,Korean-Sroof,1.09,Mar-25,0,0,0,0,0,0,0,0.00%,0.00%
Korea,Korean-Sroof,1.09,Apr-25,0,0,0,0,0,0,0,0.00%,0.00%
Korea,Korean-Sroof,1.09,May-25,71,78,85,0,0,0,0,86.44%,93.63%
Korea,Korean-Sroof,1.09,Jun-25,134,142,160,0,0,301,332,86.30%,90.00%
Korea,Korean-Sroof,1.09,Jul-25,127,132,0,0,0,281,0,86.40%,0.00%
Korea,Korean-Sroof,1.09,Aug-25,131,138,0,0,0,294,0,86.04%,0.00%
Korea,Korean-Sroof,1.09,Sep-25,118,117,0,0,0,249,0,85.77%,0.00%
Korea,Korean-Sroof,1.09,Oct-25,125,126,0,0,0,268,0,85.49%,0.00%
Korea,Korean-Sroof,1.09,Nov-25,107,98,0,0,0,208,0,85.63%,0.00%
Korea,Korean-Sroof,1.09,Dec-25,104,94,0,0,0,203,0,83.27%,0.00%
Singapore ,SG Matco Asia,0.85,Jan-25,85,85,71,0,0,132,104,75.11%,80.63%
Singapore ,SG Matco Asia,0.85,Feb-25,88,88,85,0,0,139,125,74.39%,80.01%
Singapore ,SG Matco Asia,0.85,Mar-25,101,101,80,0,0,158,122,74.79%,76.89%
Singapore ,SG Matco Asia,0.85,Apr-25,91,91,80,0,0,142,138,75.29%,68.31%
Singapore ,SG Matco Asia,0.85,May-25,90,90,91,0,0,140,139,75.53%,76.50%
Singapore ,SG Matco Asia,0.85,Jun-25,84,84,86,0,0,129,130,76.24%,77.52%
Singapore ,SG Matco Asia,0.85,Jul-25,89,89,0,0,0,137,0,76.06%,0.00%
Singapore ,SG Matco Asia,0.85,Aug-25,91,91,0,0,0,140,0,75.80%,0.00%
