Month ,No of strings breakdown ,No. of Strings/No. of modules damaged,Designed DC capacity (MWh) ,Breakdown DC Capacity (MWh) ,Operational DC capacity (MWh) ,Budgeted Gen (MWh) ,Actual Gen (MWh) ,Loss due to string failure (MWh) ,Loss in JPY ,Loss in USD 
25-Jan,278,278 / 582,28.24548,3.76968,24.4758,2073,1554,239,8617415,57737
25-Feb,278,278 / 582,28.24548,3.76968,24.4758,2294,1730,266,9591601,64264
25-Mar,278,278 / 582,28.24548,3.76968,24.4758,3252,1583,244,8774881,58792
25-Apr,278,278 / 582,28.24548,3.76968,24.4758,2887,2657,409,14731443,101647
25-May,278,278 / 582,28.24548,3.76968,24.4758,3464,1800,277,9982495,66883
25-Jun,278,278 / 582,28.24548,3.76968,24.4758,2373,2397.3,375,13513265,90539
25-Jul,278,278 / 582,28.24548,3.76968,24.4758,3452,,400,14395511,96450
25-Aug,278,278 / 582,28.24548,3.76968,24.4758,3833,,444,15981538,107076
25-Sep,278,278 / 582,28.24548,3.76968,24.4758,3125,,362,13031882,87314
25-Oct,278,278 / 582,28.24548,3.76968,24.4758,2569,,298,10710847,71763
25-Nov,278,278 / 582,28.24548,3.76968,24.4758,1920,,222,8004320,53629
25-Dec,278,278 / 582,28.24548,3.76968,24.4758,2093,,242,8728171,58479
,,,,,,33335,,3780,136063369,914571
