Date,month,Country,Portfolio,Asset No,Battery Capacity (MW),Export Energy (kWh),PV Energy (kWh),Charge Energy (kWh),Discharge Energy (kWh),Min SOC ,Max SOC ,Min ESS Temperature ,Max ESS Temperature ,Min ESS Humidity ,Max ESS Humidity ,RTE(%)
01-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,2175.7,2260.7,1247,1162,2.5,90,16.7,21.8,27.2,35,0.931836407
02-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,1445.9,1492.9,843,796,2.5,62.5,16.8,20.8,27.3,38.2,0.944246738
03-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,1841.9,1900.9,1048,989,2,77,16.8,21.8,21.8,34.1,0.94370229
04-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,1900.7,1971.7,1177,1106,2,85,16.8,21.9,23.2,30.4,0.939677145
05-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,256.1,268.1,12,0,2.5,3.5,16.7,19.7,26.7,41.4,0
06-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,877.8,892.8,323,308,2,29,16.8,19.8,24.7,41.8,0.953560372
07-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,893.7,927.7,291,257,2,24,16.8,19.7,22.9,32.2,0.883161512
08-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,407.6,448.6,41,0,2.5,6.5,16.9,19.7,25.4,37.9,0
09-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,728.5,708.5,142,162,2,16.5,16.6,19.8,22.3,34.5,1.14084507
10-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,539.6,549.6,138,128,1.5,14.9,16.6,19.7,23.3,33.5,0.927536232
11-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,398.1,448.1,50,0,1.5,6.5,16.7,19.7,26.4,34,0
12-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,941.5,942.5,438,437,2,38.5,16.7,19.8,23.4,32.9,0.997716895
13-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,1241.5,1276.5,565,530,2,45.5,16.6,19.7,26.8,35.8,0.938053097
14-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,1532.2,1585.2,877,824,2.5,64.5,16.9,20.5,30.8,41.3,0.939566705
15-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,813.7,827.7,262,248,2,22.8,16.7,19.6,21.8,40.8,0.946564885
16-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,411.8,408.8,73,76,1.5,10.5,16.7,19.7,24.3,31.2,1.04109589
17-Jan-25,25-Jan,korea,korea-blackwood,KR_BW_18,1.4976,1850,1926,1183,1107,1.5,85,16.7,21.4,24.5,32.1,0.935756551
