month,country,portfolio,assetno,dc_capacity_mw,ic_approved_budget,expected_budget,weather_loss_or_gain,grid_curtailment,grid_outage,operation_budget,breakdown_loss,unclassified_loss,actual_generation,string failure,inverter failure,ac_failure,expected_pr,actual_pr,pr_gap,pr_gap_observation,pr_gap_action_need_to_taken,revenue_loss,revenue_loss_observation,revenue_loss_action_need_to_taken,budgeted_irradiation,actual_irradiation,ac_capacity_mw,bess_capacity_mwh,bess_generation_mwh,ppa_rate,ic_approved_budget_$,expected_budget_$,actual_generation_$
2025-01,Korea,Korea-Blackwood ,KR_BW_01,0.1944,17.93737151,16.15,3.075565991,0,0,19.22556599,-1.487,0.968058567,18.70662456,-1.487,0,0,0.753866894,0.733518324,-0.02034857,,,76,,,110.2,131.186215,0.2,0,,0.078421904,1406.682827,1266.51375,1467.009116
2025-01,Korea,Korea-Blackwood ,KR_BW_02,0.34776,28.72256732,27.17976,5.879569503,0,0,33.0593295,0,-1.231429503,31.8279,0,0,0,0.709225588,0.682807589,-0.026417998,,,-97,,,110.2,134.0386417,0.35,0,,0.078421904,2252.478418,2131.48853,2496.004519
2025-01,Korea,Korea-Blackwood ,KR_BW_03,0.099,9.815122272,8.8377,0.840770202,0,0,9.678470202,-0.17805,-0.099406173,9.401014029,-0.17805,0,0,0.806410993,0.783293321,-0.023117673,,,-8,,,110.7,121.2313895,0.1,0,,0.078421904,769.7205769,693.0692613,737.24542
2025-01,Korea,Korea-Blackwood ,KR_BW_04,0.949875,88.22978945,87.6092,10.68722525,0,0,98.29642525,0,-7.92881192,90.36761333,0,0,0,0.855587629,0.786573996,-0.069013633,,,-622,,,107.8,120.95025,1,0,,0.078421904,6919.148081,6870.480275,7086.800301
2025-01,Korea,Korea-Blackwood ,KR_BW_05,0.9964,91.59773505,91.762,4.224328206,0,0,95.98632821,-2.12296,-8.389333828,85.47403438,-2.12296,0,0,0.850355833,0.757226004,-0.093129829,,,-658,,,108.3,113.2856667,1.168,0,,0.078421904,7183.268788,7196.150758,6703.036522
2025-01,Korea,Korea-Blackwood ,KR_BW_06,0.9964,84.93529714,87.7888,9.237665696,0,0,97.0264657,-14.85859159,-14.95802364,67.20985046,-3.197,-11.66159159,0,0.859570552,0.595421134,-0.264149418,"1. Inverter breakdown loss (-11.66MWh,-10.30%)
2. Shadow loss (-3.42MWh,-3.0%)
3. String failure loss (-3.20MWh, -2.80%)","1. Generation is resumed after rectification (Closed)
2. Uncontrollable ",-1173,Inverter production issue. Information not received from PEK team Gen Loss: 11 MWh and Revenue Loss: $ 914,Inverter restored after the rectification ,102.5,113.2856667,1.168,0,,0.078421904,6660.787722,6884.564849,5270.724443
2025-01,Korea,Korea-Blackwood ,KR_BW_07,0.9964,92.82340093,93.3702,3.76024402,0,0,97.13044402,-0.155,-7.331369863,89.64407416,-0.155,0,0,0.86049171,0.794168949,-0.066322761,,,-575,,,108.9,113.2856667,1.1,0,,0.078421904,7279.38784,7322.268864,7030.058981
2025-01,Korea,Korea-Blackwood ,KR_BW_08,0.9964,87.08212501,86.8428,9.325767871,0,0,96.16856787,0,-16.80922371,79.35934416,0,0,0,0.851970319,0.703055138,-0.148915181,,,-1318,,,102.3,113.2856667,1.1,0,,0.078421904,6829.146051,6810.377728,6223.510872
2025-01,Korea,Korea-Blackwood ,KR_BW_09,1.19637,84.87865932,92.8972,23.84635445,0,0,116.7435545,-0.4286383,-35.42102615,80.89389,-0.4286383,0,0,0.832253186,0.576684494,-0.255568691,String monitoring is not available for further analysis. Only one inverter installed at site ,Nil ,-3871,,,93.3,117.2497517,1.2,0,,0.109296439,9276.935169,10153.33311,8841.414074
2025-01,Korea,Korea-Blackwood ,KR_BW_10,0.1971,19.66569408,18.6465,2.590237993,0,0,21.23673799,0,-3.575638661,17.66109933,0,0,0,0.848468716,0.705611675,-0.142857041,,,-280,,,111.5,126.98878,0.2,0,,0.078421904,1542.221174,1462.294034,1385.017037
